Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2021);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
1;21100867411;"Annual Review of Criminology";journal;"25724568";4,115;Q1;22;18;62;2417;619;61;7,05;134,28;United States;Northern America;"Annual Reviews Inc.";"2018-2021";"Law (Q1)"
2;39139;"International Organization";journal;"15315088, 00208183";3,606;Q1;151;50;100;3930;612;100;5,31;78,60;United Kingdom;Western Europe;"Cambridge University Press";"1947-2021";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
3;19684;"Criminology";journal;"17459125, 00111384";3,396;Q1;147;27;77;2597;567;77;6,43;96,19;United States;Northern America;"Wiley-Blackwell";"1963-2021";"Law (Q1); Pathology and Forensic Medicine (Q1)"
4;14735;"Government Information Quarterly";journal;"0740624X";2,439;Q1;112;68;222;6298;2293;213;10,74;92,62;United Kingdom;Western Europe;"Elsevier Ltd.";"1984-2021";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)"
5;23859;"Journal of Business Ethics";journal;"15730697, 01674544";2,438;Q1;208;575;1198;54130;9658;1170;6,96;94,14;Netherlands;Western Europe;"Springer Netherlands";"1982-2021";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Law (Q1)"
6;21100934923;"IEEE Communications Standards Magazine";journal;"24712825";2,063;Q1;22;75;144;904;519;92;2,96;12,05;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2021";"Computer Networks and Communications (Q1); Law (Q1); Management of Technology and Innovation (Q1); Safety, Risk, Reliability and Quality (Q1)"
7;19532;"Accident Analysis and Prevention";journal;"18792057, 00014575";1,910;Q1;164;465;1085;25478;7163;1080;6,49;54,79;United Kingdom;Western Europe;"Elsevier Ltd.";"1969-2021";"Human Factors and Ergonomics (Q1); Law (Q1); Public Health, Environmental and Occupational Health (Q1); Safety, Risk, Reliability and Quality (Q1)"
8;25835;"International Security";journal;"15314804, 01622889";1,910;Q1;113;20;73;91;347;42;5,93;4,55;United States;Northern America;"MIT Press Journals";"1984, 1996-2021";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)"
9;21100774809;"Crime Science";journal;"21937680";1,777;Q1;25;24;57;1210;332;57;7,24;50,42;United Kingdom;Western Europe;"SpringerOpen";"2013-2021";"Cultural Studies (Q1); Law (Q1); Safety Research (Q1); Urban Studies (Q1)"
10;20838;"Transport Policy";journal;"1879310X, 0967070X";1,732;Q1;103;258;583;14198;3738;572;6,36;55,03;United Kingdom;Western Europe;"Elsevier Ltd.";"1993-2021";"Geography, Planning and Development (Q1); Law (Q1); Transportation (Q1)"
11;18787;"Higher Education";journal;"00181560, 1573174X";1,729;Q1;110;202;363;11805;1978;362;4,53;58,44;Netherlands;Western Europe;"Springer Netherlands";"1972-2021";"Education (Q1); Law (Q1)"
12;20388;"Justice Quarterly";journal;"17459109, 07418825";1,729;Q1;94;88;176;6595;773;172;4,39;74,94;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1984-2021";"Law (Q1); Pathology and Forensic Medicine (Q1)"
13;28898;"Computers and Security";journal;"01674048";1,726;Q1;102;306;730;17686;4974;722;6,45;57,80;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2021";"Computer Science (miscellaneous) (Q1); Law (Q1)"
14;20896;"Telematics and Informatics";journal;"07365853";1,690;Q1;78;172;378;13482;3816;370;10,25;78,38;United Kingdom;Western Europe;"Elsevier Ltd.";"1984-2021";"Communication (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Law (Q1)"
15;19700170231;"Criminology and Public Policy";journal;"17459133, 15386473";1,618;Q1;37;29;171;2177;619;141;4,32;75,07;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2012-2021";"Law (Q1); Literature and Literary Theory (Q1); Public Administration (Q1)"
16;20377;"Journal of Quantitative Criminology";journal;"07484518, 15737799";1,612;Q1;87;76;112;6313;535;110;4,56;83,07;United States;Northern America;"Springer New York";"1985-2021";"Law (Q1); Pathology and Forensic Medicine (Q1)"
17;16220;"Journal of Law and Economics";journal;"15375285, 00222186";1,598;Q1;86;28;74;1567;146;74;1,56;55,96;United States;Northern America;"University of Chicago";"1978-1989, 1996-2021";"Economics and Econometrics (Q1); Law (Q1)"
18;20532;"Journal of Air Transport Management";journal;"09696997";1,556;Q1;82;140;365;8064;2203;360;5,97;57,60;United Kingdom;Western Europe;"Elsevier Ltd.";"1994-1995, 1997-2022";"Law (Q1); Management, Monitoring, Policy and Law (Q1); Strategy and Management (Q1); Transportation (Q1)"
19;18916;"Social Science Computer Review";journal;"15528286, 08944393";1,503;Q1;78;131;163;7465;911;161;5,43;56,98;United States;Northern America;"SAGE Publications Inc.";"1983-2021";"Computer Science Applications (Q1); Law (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)"
20;5700164300;"Youth Violence and Juvenile Justice";journal;"15412040";1,463;Q1;50;22;64;1825;313;63;4,43;82,95;United States;Northern America;"SAGE Publications Inc.";"2003-2021";"Developmental and Educational Psychology (Q1); Health (social science) (Q1); Law (Q1)"
21;110031;"Resources Policy";journal;"03014207";1,461;Q1;80;529;696;33116;5390;696;8,02;62,60;United Kingdom;Western Europe;"Elsevier Ltd.";"1974-2021";"Economics and Econometrics (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)"
22;21100201725;"European Journal of Psychology Applied to Legal Context";journal;"19894007, 18891861";1,455;Q1;25;10;30;758;243;30;8,45;75,80;Spain;Western Europe;"Sociedad Espanola de Psicologia Juridica y Forense";"2009-2021";"Applied Psychology (Q1); Law (Q1)"
23;5600152957;"American Journal of Criminal Justice";journal;"10662316, 19361351";1,420;Q1;34;101;166;6582;879;159;5,99;65,17;United States;Northern America;"Springer New York";"1975-1976, 1980-1982, 1985-1991, 1993-1997, 2009-2021";"Law (Q1)"
24;26836;"Journal of International Economic Law";journal;"14643758, 13693034";1,360;Q1;50;22;116;1596;203;112;1,89;72,55;United Kingdom;Western Europe;"Oxford University Press";"1998-2021";"Economics, Econometrics and Finance (miscellaneous) (Q1); Law (Q1)"
25;25733;"Journal of Criminal Justice";journal;"00472352";1,359;Q1;85;74;197;5581;875;197;4,61;75,42;United Kingdom;Western Europe;"Elsevier BV";"1973-2021";"Applied Psychology (Q1); Law (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)"
