Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2022);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories;Areas
1;39139;"International Organization";journal;"15315088, 00208183";4,798;Q1;157;33;111;2627;852;110;7,94;79,61;United Kingdom;Western Europe;"Cambridge University Press";"1947-2022";"Law (Q1); Organizational Behavior and Human Resource Management (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Business, Management and Accounting; Social Sciences"
2;25835;"International Security";journal;"15314804, 01622889";2,694;Q1;120;25;70;399;424;47;3,79;15,96;United States;Northern America;"MIT Press Journals";"1984, 1996-2022";"Law (Q1); Political Science and International Relations (Q1); Sociology and Political Science (Q1)";"Social Sciences"
3;23859;"Journal of Business Ethics";journal;"15730697, 01674544";2,590;Q1;229;538;1093;50260;9971;1067;8,11;93,42;Netherlands;Western Europe;"Springer Netherlands";"1982-2022";"Arts and Humanities (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1); Law (Q1)";"Arts and Humanities; Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
4;21100867411;"Annual Review of Criminology";journal;"25724568";2,580;Q1;28;0;56;0;478;56;5,44;0,00;United States;Northern America;"Annual Reviews Inc.";"2018-2021";"Law (Q1)";"Social Sciences"
5;19684;"Criminology";journal;"17459125, 00111384";2,497;Q1;156;28;78;2863;601;77;6,73;102,25;United States;Northern America;"Wiley-Blackwell";"1963-2022";"Law (Q1); Pathology and Forensic Medicine (Q1)";"Medicine; Social Sciences"
6;14735;"Government Information Quarterly";journal;"0740624X";2,321;Q1;123;91;212;7756;2587;206;9,37;85,23;United Kingdom;Western Europe;"Elsevier Ltd.";"1984-2022";"E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1)";"Social Sciences"
7;21100934923;"IEEE Communications Standards Magazine";journal;"24712825";2,306;Q1;28;66;169;675;765;128;4,99;10,23;United States;Northern America;"Institute of Electrical and Electronics Engineers Inc.";"2017-2022";"Computer Networks and Communications (Q1); Law (Q1); Management of Technology and Innovation (Q1); Safety, Risk, Reliability and Quality (Q1)";"Business, Management and Accounting; Computer Science; Engineering; Social Sciences"
8;19532;"Accident Analysis and Prevention";journal;"18792057, 00014575";1,956;Q1;177;246;1221;15416;8297;1217;6,31;62,67;United Kingdom;Western Europe;"Elsevier Ltd.";"1969-2022";"Human Factors and Ergonomics (Q1); Law (Q1); Public Health, Environmental and Occupational Health (Q1); Safety, Risk, Reliability and Quality (Q1)";"Engineering; Medicine; Social Sciences"
9;18787;"Higher Education";journal;"00181560, 1573174X";1,952;Q1;118;246;375;14671;2515;371;6,84;59,64;Netherlands;Western Europe;"Springer Netherlands";"1972-2022";"Education (Q1); Law (Q1)";"Social Sciences"
10;21100201725;"European Journal of Psychology Applied to Legal Context";journal;"19894007, 18891861";1,910;Q1;29;10;30;652;292;30;10,20;65,20;Spain;Western Europe;"Sociedad Espanola de Psicologia Juridica y Forense";"2009-2022";"Applied Psychology (Q1); Law (Q1)";"Psychology; Social Sciences"
11;20896;"Telematics and Informatics";journal;"07365853";1,878;Q1;93;98;371;7142;4179;367;10,09;72,88;United Kingdom;Western Europe;"Elsevier Ltd.";"1984-2022";"Communication (Q1); Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1); Law (Q1)";"Computer Science; Engineering; Social Sciences"
12;110031;"Resources Policy";journal;"03014207";1,869;Q1;95;624;1074;41015;11177;1074;10,59;65,73;United Kingdom;Western Europe;"Elsevier Ltd.";"1974-2022";"Economics and Econometrics (Q1); Law (Q1); Management, Monitoring, Policy and Law (Q1); Sociology and Political Science (Q1)";"Economics, Econometrics and Finance; Environmental Science; Social Sciences"
13;20838;"Transport Policy";journal;"1879310X, 0967070X";1,852;Q1;113;280;632;16621;4934;623;8,03;59,36;United Kingdom;Western Europe;"Elsevier Ltd.";"1993-2022";"Geography, Planning and Development (Q1); Law (Q1); Transportation (Q1)";"Social Sciences"
14;21100774809;"Crime Science";journal;"21937680";1,755;Q1;30;16;60;861;398;60;7,46;53,81;United Kingdom;Western Europe;"SpringerOpen";"2013-2022";"Cultural Studies (Q1); Law (Q1); Safety Research (Q1); Urban Studies (Q1)";"Social Sciences"
15;19700170231;"Criminology and Public Policy";journal;"17459133, 15386473";1,737;Q1;42;37;135;3202;723;124;4,99;86,54;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2012-2022";"Law (Q1); Literature and Literary Theory (Q1); Public Administration (Q1)";"Arts and Humanities; Social Sciences"
16;18916;"Social Science Computer Review";journal;"15528286, 08944393";1,662;Q1;85;181;163;11304;962;161;5,68;62,45;United States;Northern America;"SAGE Publications Inc.";"1983-2022";"Computer Science Applications (Q1); Law (Q1); Library and Information Sciences (Q1); Social Sciences (miscellaneous) (Q1)";"Computer Science; Social Sciences"
17;16220;"Journal of Law and Economics";journal;"15375285, 00222186";1,612;Q1;88;39;78;2115;141;78;1,54;54,23;United States;Northern America;"University of Chicago";"1978-1989, 1996-2022";"Economics and Econometrics (Q1); Law (Q1)";"Economics, Econometrics and Finance; Social Sciences"
18;28898;"Computers and Security";journal;"01674048";1,605;Q1;112;331;832;19277;6329;825;7,38;58,24;United Kingdom;Western Europe;"Elsevier Ltd.";"1982-2022";"Computer Science (miscellaneous) (Q1); Law (Q1)";"Computer Science; Social Sciences"
19;5600152957;"American Journal of Criminal Justice";journal;"10662316, 19361351";1,589;Q1;38;92;168;6319;1117;159;8,32;68,68;United States;Northern America;"Springer New York";"1975-1976, 1979-1982, 1984-1991, 1993-1997, 2009-2022";"Law (Q1)";"Social Sciences"
20;25733;"Journal of Criminal Justice";journal;"00472352";1,573;Q1;92;96;187;7125;1110;187;6,30;74,22;United Kingdom;Western Europe;"Elsevier BV";"1973-2022";"Applied Psychology (Q1); Law (Q1); Social Psychology (Q1); Sociology and Political Science (Q1)";"Psychology; Social Sciences"
