"","x"
"1","International Organization"
"2","International Security"
"3","Journal of Business Ethics"
"4","Annual Review of Criminology"
"5","Criminology"
"6","Government Information Quarterly"
"7","IEEE Communications Standards Magazine"
"8","Accident Analysis and Prevention"
"9","Higher Education"
"10","European Journal of Psychology Applied to Legal Context"
"11","Telematics and Informatics"
"12","Resources Policy"
"13","Transport Policy"
"14","Crime Science"
"15","Criminology and Public Policy"
"16","Social Science Computer Review"
"17","Journal of Law and Economics"
"18","Computers and Security"
"19","American Journal of Criminal Justice"
"20","Journal of Criminal Justice"
"21","Justice Quarterly"
"22","Artificial Intelligence and Law"
"23","Regulation and Governance"
"24","International Environmental Agreements: Politics, Law and Economics"
"25","Journal of Air Transport Management"
"26","Stanford Law Review"
"27","Journal of Law, Economics, and Organization"
"28","Comparative Migration Studies"
"29","Youth Violence and Juvenile Justice"
"30","Journal of Quantitative Criminology"
"31","Computer Standards and Interfaces"
"32","Journal of Experimental Criminology"
"33","International Theory"
"34","Annual Review of Law and Social Science"
"35","Yale Law Journal"
"36","Marine Policy"
"37","Criminal Justice and Behavior"
"38","Journal of International Economic Law"
"39","Transnational Environmental Law"
"40","Punishment and Society"
"41","Law and Society Review"
"42","Theoretical Criminology"
"43","Police Quarterly"
"44","Health and Justice"
"45","Crime and Delinquency"
"46","Law and Human Behavior"
"47","Journal of Law and the Biosciences"
"48","British Journal of Criminology"
"49","Utilities Policy"
"50","Policing and Society"
"51","Feminist Criminology"
"52","Forensic Chemistry"
"53","Journal of Legal Affairs and Dispute Resolution in Engineering and Construction"
"54","Columbia Law Review"
"55","Journal of Cybersecurity"
"56","Psychological Injury and Law"
"57","Harvard Law Review"
"58","Journal of Empirical Legal Studies"
"59","Criminal Justice Policy Review"
"60","Forensic Science International: Digital Investigation"
"61","International and Comparative Law Quarterly"
"62","International Data Privacy Law"
"63","International Journal of Law and Psychiatry"
"64","Yale journal on regulation"
"65","Election Law Journal: Rules, Politics, and Policy"
"66","Forensic Science International"
"67","Violence Against Women"
"68","Forensic Science International: Synergy"
"69","Electricity Journal"
"70","Computer Law and Security Review"
"71","Prison Journal"
"72","Journal of Law and Courts"
"73","European Constitutional Law Review"
"74","Harvard Civil Rights-Civil Liberties Law Review"
"75","Journal of Family Violence"
"76","Global Policy"
"77","IEEE Security and Privacy"
"78","IET Intelligent Transport Systems"
"79","Critical Criminology"
"80","Review of European, Comparative and International Environmental Law"
"81","Virginia Law Review"
"82","Police Practice and Research"
"83","Journal of Criminology"
"84","International Review of Law and Economics"
"85","Policing (Oxford)"
"86","Trends and Issues in Crime and Criminal Justice"
